query,instances,revenue
google,32163,990.87
yahoo,13646,985.81
ebay,13075,930.14
mapquest,8719,925.08
myspace,6877,894.72
my space,3008,889.66
map quest,2899,869.42
http,2840,864.36
weather,2676,859.30
pogo,2307,833.99
american idol,2279,788.45
craigslist,2232,747.96
bank of america,2069,717.60
msn,2045,661.94
yahoo mail,1890,646.75
ask jeeves,1810,641.69
bankofamerica,1743,616.39
pokemon,1720,601.21
walmart,1517,596.15
tattoo,1397,530.36
horoscopes,1272,498.40
southwest airlines,1259,497.20
maps,1214,493.19
myspace layouts,1188,491.59
target,1076,491.19
white pages,1075,490.79
home depot,1068,490.39
mailbox,999,489.99
n y s e evergreen solar,991,484.78
lyrics,989,483.58
yellow pages,938,482.38
irs,921,481.98
m,919,479.58
travelocity,884,475.98
goggle,863,468.77
orbitz,851,467.17
qvc,826,466.77
lowes,808,463.96
yahoo personals,808,462.76
yahoo email,794,460.76
sears,762,456.76
horoscope,723,452.35
im help,715,451.55
my,714,448.35
american airlines,700,445.55
cingular,694,440.34
verizon,689,434.33
expedia,685,431.53
best buy,685,429.93
craigs list,675,427.13
games,673,426.73
wachovia,669,424.72
amazon,667,421.52
runescape,659,417.52
webmd,659,416.72
tattoos,646,414.71
ticketmaster,646,413.11
yahoo games,625,412.71
limewire,614,410.71
slingo,609,409.91
sins of midnight kimberly logan,588,409.51
kelly blue book,585,406.31
om,577,405.51
donnie mcclurkin,573,403.90
cnn,571,400.30
g,567,396.70
clive owen,561,395.10
driving directions,553,389.09
donbest,547,388.69
recent,542,384.28
e-bay,539,383.88
people search,534,382.28
jobs,530,381.48
florida lottery,519,381.08
deal or no deal,517,379.48
playboy,509,375.88
free bingo,502,374.67
ask,500,372.67
wells fargo,498,371.47
adam4adam,497,369.87
mys,496,369.47
circuit city,495,368.27
disney channel,495,367.07
y,493,366.67
usps,492,363.06
yahoomail,486,362.66
united airlines,485,362.26
jokes,477,361.86
hsn,475,361.46
bed bath and beyond,475,359.46
directions,474,358.26
amex bema gold,473,355.06
espn,466,354.65
kimberly logan,461,352.65
askjeeves,458,351.85
https,454,349.85
dogpile,452,349.45
prom dresses,438,348.25
hilary duff,437,347.85
nascar,434,347.45
paypal,434,347.05
new york times,425,345.45
jet blue,425,344.64
xnxx,424,344.24
delta airlines,422,342.64
fafsa,421,341.44
e,420,340.24
gold,420,337.84
amex bgo,418,337.04
nyse hl,417,335.44
ups,413,334.23
web md,409,330.23
nyse wit,409,327.83
sales reps for china products,404,325.43
map,403,324.22
my yahoo,402,323.02
free music downloads,398,321.02
britney spears,396,317.82
miami heat,394,316.62
gmail,387,315.02
dell,387,313.81
donnie mcclurkin cd,386,312.61
irs.gov,386,312.21
nyse eslr,385,309.41
lottery,382,305.81
american express,382,303.00
dogs,378,302.60
wikipedia,376,301.00
goo,373,300.20
eharmony,371,299.40
billing,369,295.80
costco,367,289.79
lindsay lohan,366,287.79
thehun,364,284.58
powerball,364,284.18
bridge,363,280.98
continental airlines,363,280.58
airlines,362,280.18
capital one,362,277.38
disney,361,276.58
http;,361,276.18
baby names,360,274.57
zip codes,359,268.97
screen names,357,267.77
h,354,264.96
wwe,354,263.76
southwest,353,263.36
2006 mock nfl draft,349,262.96
music,349,260.56
poems,349,257.36
paris hilton,346,251.35
recipes,345,250.95
mysp,345,250.55
sprint,344,248.55
ampland,343,246.15
a,341,244.54
craiglist.org,340,243.34
movies,340,242.54
song lyrics,340,241.74
videos,338,238.54
google earth,335,236.54
national city bank,335,234.93
free games,334,232.53
verizon wireless,329,230.53
rawfoodtalk,329,222.92
jetblue,324,222.52
google search,322,220.92
itunes,322,220.52
barnes and noble,320,218.92
